Nome,Tipo,Sub-Tipo,Local,Imagem,Descrição,Interconexão 1,Interconexão 2,Interconexão 3,Interconexão 4,Interconexão 5,Interconexão 6,Interconexão 7,Interconexão 8,Interconexão 9,Interconexão 10,Interconexão 11,Interconexão 12,Interconexão 13,Interconexão 14,Interconexão 15
Questão Religiosa,Fato Histórico,Revolução,,https://upload.wikimedia.org/wikipedia/commons/thumb/9/94/Quest%C3%A3o_religiosa.jpg/300px-Quest%C3%A3o_religiosa.jpg,"A questão religiosa foi um conflito ocorrido no Brasil na decada de 1870 que, tendo iniciado como um enfrentamento entre a Igreja Católica e a Maçonaria, acabou se tornando uma grave questão de Estado. Suas causas vem desde muito tempo antes, fundadas em divergências irreconciliáveis entre ultramontanismo, o liberalismo e o regime do padroado, e em aspectos complexos da cultura brasileira",Azeredo Coutinho (Bispo),Dom Cardoso Ayres,Abreu e Lima,,,,,,,,,,,,
1 Jardim de Boa Viagem,Local,Praça,Boa Viagem,https://www.dropbox.com/s/l091x475afxxnqr/1%20Jardim%20de%20Boa%20Viagem.jpg,"No primeiro jardim, uma rua nos leva ao Aeroclube de Pernambuco, fundado em 15 de mar?o de 1940 no Encanta Moça",2 Jardim de Boa Viagem,3 Jardim de Boa Viagem,Avenida Boa Viagem,,,,,,,,,,,,
2 Jardim de Boa Viagem,Local,Praça,Boa Viagem,https://poraqui.news/boa-viagem/wp-content/uploads/sites/4/2017/05/original_5a1a5111a5fffc685872bddb3e751b10.jpeg,"No segundo jardim, na altura do do número 1450, olhando para o mar, encontra-se o busto do pintor Teles Junior (1851-1914); no número  3500 (Edifício Portugal) uma réplica em tamanho pequeno do Monumento dos Descobrimentos existente em Belém (Lisboa)",Teles Junior,1 Jardim de Boa Viagem,3 Jardim de Boa Viagem,Avenida Boa Viagem,,,,,,,,,,,
3 Jardim de Boa Viagem,Local,Praça,Boa Viagem,https://igx.4sqi.net/img/general/width960/32097860_5aCa9NrEzCvf8KgKS-SJOG884vI7mLGnGpZWBZqmaSA.jpg,No Terceiro Jardim são encontradas peças de arquitetura de Ricardo Brenan.,1 Jardim de Boa Viagem,2 Jardim de Boa Viagem,Avenida Boa Viagem,,,,,,,,,,,,
Abreu e Lima,Personagem,,,https://upload.wikimedia.org/wikipedia/commons/7/78/General_abreu_e_lima.jpg,"José Inácio de Abreu e Lima (Recife, 6 de abril de 1794 - Recife, 8 de março de 1869) foi um militar, político, jornalista e escritor. Mesmo sendo brasileiro de nascimento, participou com destaque das guerras de independência da América espanhola. Devido a isso, conhecido com maior notoriedade como General Abreu e Lima por ter sido um dos generais de Simón Bolívar, um dos principais líderes pela libertação da América hispánica",Padre Roma,Revolução de 1817,Revolução Praieira,Dom Cardoso Ayres,Questão Religiosa,Cemitério dos Ingleses,,,,,,,,,
Academia Pernambucana de Letras,Local,Biblioteca,Graças,http://jconlineimagem.ne10.uol.com.br/imagem/galeria/2015/04/10/4352_avulsa/normal/5da9cf9625826af0d8fd2452c33ad396.jpg,"A Academia Pernambucana de Letras foi fundada em 26 de janeiro de 1901, no Recife, por Carneiro Vilela e outros escritores pernambucanos da ?poca, com um total de 20 cadeiras. Foi uma das primeiras academias de letras do Brasil, sendo precedida apenas pela Academia Cearense de Letras, pela Academia Brasileira de Letras e pela Academia Paraense de Letras.",Avenida Rui Barbosa,Ariano Suassuna,Colégio Damas,Jardim do Baobá,Ponte D'Uchôa,,,,,,,,,,
Acencio Ferreira,Personagem,,,https://i2.wp.com/www.nosrevista.com.br/wp-content/uploads/2010/06/ascenso-ferreira.jpg,"Ascenso Carneiro Gonçalves Ferreira (Palmares, 9 de maio de 1895 - Recife, 5 de maio de 1965) foi um poeta brasileiro, conhecido por integrar o movimento modernista de 1922 com uma poesia que destacava a temática regional de sua terra.[1] Usava sempre um grande chapéu de palha, que o caracterizava.",Ponte Buarque de Macedo,,,,,,,,,,,,,,
Aderbal Jurema,Personagem,,,https://pt.wikipedia.org/wiki/Aderbal_Jurema#/media/File:Aderbal_Jurema_senador.jpg,"Advogado formado pela Faculdade de Direito do Recife, seria posteriormente ali professor. Diretor do Servi?o de Informa??o Agr?cola do Minist?rio da Agricultura (1946-1947) e secretário do ministro João Cleofas de Oliveira, além de Secretário de Educação nos governos de Etelvino Lins e Cordeiro de Farias.",Mercado da Madalena,Antonio de Goes,,,,,,,,,,,,,
Aeroclube,Local,Aeroporto,Boa Viagem,https://i.ytimg.com/vi/jT2vhMr2Hik/maxresdefault.jpg,"A criação do Aeroclube de Pernambuco remonta as primeiras décadas do século XX, mais especificamente ao período anterior ? 2? Guerra Mundial, quando o pa?s necessitava de um local específico que formasse pilotos habilitados a comandar os aviões de guerra.",Eduardo Gomes,Aeroporto Internacional do Recife,,,,,,,,,,,,,
Aeroporto Internacional do Recife,Local,Aeroporto,Boa Viagem,https://upload.wikimedia.org/wikipedia/commons/5/55/Aeroporto_Internacional_de_Guararapes.jpg,"Sua construção antecede a II Guerra Mundial, sendo que o conflito serviu para melhorar a estrutura da Base Aérea do Recife e, consequentemente, do próprio aeroporto. No final da década de 1940, o Recife passou a ter grande importância no tráfego aéreo, em meio as aerovias do Atlântico Sul - Europa, pela sua posição geográfica estratégica. Seu nome oficial foi dado em 2 de julho de 1948, quando o então presidente Eurico Gaspar Dutra assinou o decreto 25.170-A, transformando o Aeroporto do Recife, localizado no Campo do Ibura, em Aeroporto Guararapes",Aeroclube,Eduardo Gomes,,,,,,,,,,,,,
Agamenon Magalhães,Personagem,,,http://www.novocpdoc.fgv.br/accessus/imagem_fundo/AGMFOTO20.jpg,"Agamenon Sérgio de Godoy Magalhães (Serra Talhada, 5 de novembro de 1893 ? Recife, 24 de agosto de 1952) foi um promotor de direito, ge?grafo, professor (de Geografia) e pol?tico brasileiro; deputado estadual (1918), federal (1924, 1928, 1932, 1945), governador de estado (1937, 1950) e ministro (Trabalho e Justiça).",Avenida Agamenon Magalhães,Paulo Guerra,Carlos de Lima Cavalcanti,Etelvino Lins,Barbosa Lima Sobrinho,,,,,,,,,,
