origin_id,origin_name,target_id,target_name,relationship_type,relationship_source,curation_status,notes
LC-0002,1 Jardim de Boa Viagem,LC-0003,2 Jardim de Boa Viagem,local,wide_interconnection_columns,imported,
LC-0002,1 Jardim de Boa Viagem,LC-0004,3 Jardim de Boa Viagem,local,wide_interconnection_columns,imported,
LC-0002,1 Jardim de Boa Viagem,LC-0029,Avenida Boa Viagem,local,wide_interconnection_columns,imported,
LC-0002,1 Jardim de Boa Viagem,LC-0022,Arsenal da Marinha,local,wide_interconnection_columns,imported,
LC-0002,1 Jardim de Boa Viagem,LC-0204,Largo da Paz,local,wide_interconnection_columns,imported,
LC-0002,1 Jardim de Boa Viagem,LC-0215,Marco Zero,local,wide_interconnection_columns,imported,
LC-0002,1 Jardim de Boa Viagem,LC-0255,Parque da Jaqueira,local,wide_interconnection_columns,imported,
LC-0002,1 Jardim de Boa Viagem,LC-0257,Jardim do Baobá,local,wide_interconnection_columns,imported,
LC-0002,1 Jardim de Boa Viagem,LC-0258,Pátio de São Pedro,local,wide_interconnection_columns,imported,
LC-0002,1 Jardim de Boa Viagem,LC-0259,Pátio do Livramento,local,wide_interconnection_columns,imported,
LC-0002,1 Jardim de Boa Viagem,LC-0267,Polo Pina,local,wide_interconnection_columns,imported,
LC-0002,1 Jardim de Boa Viagem,LC-0009,Aeroclube de Pernambuco,local,wide_interconnection_columns,imported,
LC-0002,1 Jardim de Boa Viagem,LC-0010,Aeroporto Internacional do Recife,local,wide_interconnection_columns,imported,
LC-0002,1 Jardim de Boa Viagem,LC-0027,Avenida Barão de Souza Leão,local,wide_interconnection_columns,imported,
LC-0002,1 Jardim de Boa Viagem,LC-0032,Avenida Domingos Ferreira,local,wide_interconnection_columns,imported,
LC-0003,2 Jardim de Boa Viagem,PE-AUS-0164,Teles Júnior,person,wide_interconnection_columns,imported,
LC-0003,2 Jardim de Boa Viagem,LC-0002,1 Jardim de Boa Viagem,local,wide_interconnection_columns,imported,
LC-0003,2 Jardim de Boa Viagem,LC-0004,3 Jardim de Boa Viagem,local,wide_interconnection_columns,imported,
LC-0003,2 Jardim de Boa Viagem,LC-0029,Avenida Boa Viagem,local,wide_interconnection_columns,imported,
LC-0003,2 Jardim de Boa Viagem,LC-0022,Arsenal da Marinha,local,wide_interconnection_columns,imported,
LC-0003,2 Jardim de Boa Viagem,LC-0204,Largo da Paz,local,wide_interconnection_columns,imported,
LC-0003,2 Jardim de Boa Viagem,LC-0215,Marco Zero,local,wide_interconnection_columns,imported,
LC-0003,2 Jardim de Boa Viagem,LC-0255,Parque da Jaqueira,local,wide_interconnection_columns,imported,
LC-0003,2 Jardim de Boa Viagem,LC-0257,Jardim do Baobá,local,wide_interconnection_columns,imported,
LC-0003,2 Jardim de Boa Viagem,LC-0258,Pátio de São Pedro,local,wide_interconnection_columns,imported,
LC-0003,2 Jardim de Boa Viagem,LC-0259,Pátio do Livramento,local,wide_interconnection_columns,imported,
LC-0003,2 Jardim de Boa Viagem,LC-0267,Polo Pina,local,wide_interconnection_columns,imported,
LC-0003,2 Jardim de Boa Viagem,LC-0009,Aeroclube de Pernambuco,local,wide_interconnection_columns,imported,
LC-0003,2 Jardim de Boa Viagem,LC-0010,Aeroporto Internacional do Recife,local,wide_interconnection_columns,imported,
LC-0003,2 Jardim de Boa Viagem,LC-0027,Avenida Barão de Souza Leão,local,wide_interconnection_columns,imported,
LC-0004,3 Jardim de Boa Viagem,LC-0002,1 Jardim de Boa Viagem,local,wide_interconnection_columns,imported,
LC-0004,3 Jardim de Boa Viagem,LC-0003,2 Jardim de Boa Viagem,local,wide_interconnection_columns,imported,
LC-0004,3 Jardim de Boa Viagem,LC-0029,Avenida Boa Viagem,local,wide_interconnection_columns,imported,
LC-0004,3 Jardim de Boa Viagem,LC-0022,Arsenal da Marinha,local,wide_interconnection_columns,imported,
LC-0004,3 Jardim de Boa Viagem,LC-0204,Largo da Paz,local,wide_interconnection_columns,imported,
LC-0004,3 Jardim de Boa Viagem,LC-0215,Marco Zero,local,wide_interconnection_columns,imported,
LC-0004,3 Jardim de Boa Viagem,LC-0255,Parque da Jaqueira,local,wide_interconnection_columns,imported,
LC-0004,3 Jardim de Boa Viagem,LC-0257,Jardim do Baobá,local,wide_interconnection_columns,imported,
LC-0004,3 Jardim de Boa Viagem,LC-0258,Pátio de São Pedro,local,wide_interconnection_columns,imported,
LC-0004,3 Jardim de Boa Viagem,LC-0259,Pátio do Livramento,local,wide_interconnection_columns,imported,
LC-0004,3 Jardim de Boa Viagem,LC-0267,Polo Pina,local,wide_interconnection_columns,imported,
LC-0004,3 Jardim de Boa Viagem,LC-0009,Aeroclube de Pernambuco,local,wide_interconnection_columns,imported,
LC-0004,3 Jardim de Boa Viagem,LC-0010,Aeroporto Internacional do Recife,local,wide_interconnection_columns,imported,
LC-0004,3 Jardim de Boa Viagem,LC-0027,Avenida Barão de Souza Leão,local,wide_interconnection_columns,imported,
LC-0004,3 Jardim de Boa Viagem,LC-0032,Avenida Domingos Ferreira,local,wide_interconnection_columns,imported,
LC-0006,Academia Pernambucana de Letras,LC-0038,Avenida Rui Barbosa,local,wide_interconnection_columns,imported,
LC-0006,Academia Pernambucana de Letras,PE-AUS-0017,Ariano Suassuna,person,wide_interconnection_columns,imported,
LC-0006,Academia Pernambucana de Letras,LC-0090,Colégio Damas,local,wide_interconnection_columns,imported,
LC-0006,Academia Pernambucana de Letras,LC-0257,Jardim do Baobá,local,wide_interconnection_columns,imported,
LC-0006,Academia Pernambucana de Letras,LC-0269,Ponte D'Uchôa,local,wide_interconnection_columns,imported,
LC-0006,Academia Pernambucana de Letras,LC-0021,Arquivo Público,local,wide_interconnection_columns,imported,
LC-0006,Academia Pernambucana de Letras,LC-0054,Biblioteca Pública do Estado de Pernambuco,local,wide_interconnection_columns,imported,
LC-0006,Academia Pernambucana de Letras,LC-0205,Liceu de Artes e Ofícios,local,wide_interconnection_columns,imported,
LC-0006,Academia Pernambucana de Letras,LC-0071,Capunga,local,wide_interconnection_columns,imported,
LC-0006,Academia Pernambucana de Letras,LC-0087,Clube Português,local,wide_interconnection_columns,imported,
LC-0006,Academia Pernambucana de Letras,LC-0088,Colégio Agnes,local,wide_interconnection_columns,imported,
LC-0006,Academia Pernambucana de Letras,LC-0089,Colégio Americano Batista,local,wide_interconnection_columns,imported,
LC-0006,Academia Pernambucana de Letras,LC-0091,Colégio Vera Cruz,local,wide_interconnection_columns,imported,
LC-0006,Academia Pernambucana de Letras,LC-0086,Clube Náutico Capibaribe,local,wide_interconnection_columns,imported,
LC-0006,Academia Pernambucana de Letras,LC-0465,Travessa Tuyuty,local,wide_interconnection_columns,imported,
LC-0009,Aeroclube de Pernambuco,PE-AUS-0068,Eduardo Gomes,person,wide_interconnection_columns,imported,
LC-0009,Aeroclube de Pernambuco,LC-0010,Aeroporto Internacional do Recife,local,wide_interconnection_columns,imported,
LC-0009,Aeroclube de Pernambuco,LC-0060,Cais da Alfândega,local,wide_interconnection_columns,imported,
LC-0009,Aeroclube de Pernambuco,LC-0061,Cais da Lingueta,local,wide_interconnection_columns,imported,
LC-0009,Aeroclube de Pernambuco,LC-0062,Cais do Apolo,local,wide_interconnection_columns,imported,
LC-0009,Aeroclube de Pernambuco,LC-0063,Cais José Estelita,local,wide_interconnection_columns,imported,
LC-0009,Aeroclube de Pernambuco,LC-0064,Cais Martins de Barros,local,wide_interconnection_columns,imported,
LC-0009,Aeroclube de Pernambuco,LC-0282,Porto do Recife,local,wide_interconnection_columns,imported,
LC-0009,Aeroclube de Pernambuco,LC-0370,Cais de Santa Rita,local,wide_interconnection_columns,imported,
LC-0009,Aeroclube de Pernambuco,LC-0584,Porto Digital,local,wide_interconnection_columns,imported,
LC-0009,Aeroclube de Pernambuco,LC-AUS-0023,Bacia do Pina,local,wide_interconnection_columns,imported,
LC-0009,Aeroclube de Pernambuco,LC-0306,Rio Afogados,local,wide_interconnection_columns,imported,
LC-0009,Aeroclube de Pernambuco,LC-0307,Rio Beberibe,local,wide_interconnection_columns,imported,
LC-0009,Aeroclube de Pernambuco,LC-0308,Rio Capibaribe,local,wide_interconnection_columns,imported,
LC-0009,Aeroclube de Pernambuco,LC-0310,Rio Tejipió,local,wide_interconnection_columns,imported,
LC-0010,Aeroporto Internacional do Recife,LC-0009,Aeroclube de Pernambuco,local,wide_interconnection_columns,imported,
LC-0010,Aeroporto Internacional do Recife,PE-AUS-0068,Eduardo Gomes,person,wide_interconnection_columns,imported,
LC-0010,Aeroporto Internacional do Recife,LC-0060,Cais da Alfândega,local,wide_interconnection_columns,imported,
LC-0010,Aeroporto Internacional do Recife,LC-0061,Cais da Lingueta,local,wide_interconnection_columns,imported,
LC-0010,Aeroporto Internacional do Recife,LC-0062,Cais do Apolo,local,wide_interconnection_columns,imported,
LC-0010,Aeroporto Internacional do Recife,LC-0063,Cais José Estelita,local,wide_interconnection_columns,imported,
LC-0010,Aeroporto Internacional do Recife,LC-0064,Cais Martins de Barros,local,wide_interconnection_columns,imported,
LC-0010,Aeroporto Internacional do Recife,LC-0282,Porto do Recife,local,wide_interconnection_columns,imported,
LC-0010,Aeroporto Internacional do Recife,LC-0370,Cais de Santa Rita,local,wide_interconnection_columns,imported,
LC-0010,Aeroporto Internacional do Recife,LC-0584,Porto Digital,local,wide_interconnection_columns,imported,
LC-0010,Aeroporto Internacional do Recife,LC-AUS-0023,Bacia do Pina,local,wide_interconnection_columns,imported,
LC-0010,Aeroporto Internacional do Recife,LC-0306,Rio Afogados,local,wide_interconnection_columns,imported,
LC-0010,Aeroporto Internacional do Recife,LC-0307,Rio Beberibe,local,wide_interconnection_columns,imported,
LC-0010,Aeroporto Internacional do Recife,LC-0308,Rio Capibaribe,local,wide_interconnection_columns,imported,
LC-0010,Aeroporto Internacional do Recife,LC-0310,Rio Tejipió,local,wide_interconnection_columns,imported,
LC-0441,Alto da Sé,LC-0440,Observatório do Alto da Sé,local,wide_interconnection_columns,imported,
LC-0441,Alto da Sé,PE-AUS-0069,Elevador Panorâmico de Olinda,person,wide_interconnection_columns,imported,
LC-0441,Alto da Sé,LC-0521,Catedral de Olinda,local,wide_interconnection_columns,imported,
LC-0441,Alto da Sé,LC-0561,Ladeira da Misericórdia,local,wide_interconnection_columns,imported,
LC-0441,Alto da Sé,LC-0552,Igreja da Misericórdia,local,wide_interconnection_columns,imported,
LC-0441,Alto da Sé,LC-0330,Seminário de Olinda,local,wide_interconnection_columns,imported,
LC-0441,Alto da Sé,LC-0555,Igreja de Nosso Senhor Salvador do Mundo,local,wide_interconnection_columns,imported,
LC-0441,Alto da Sé,PE-AUS-0042,Capitão Temudo,person,wide_interconnection_columns,imported,
LC-0441,Alto da Sé,PE-AUS-0067,Duarte Coelho Pereira,person,wide_interconnection_columns,imported,
LC-0441,Alto da Sé,PE-AUS-0099,Jerônimo de Albuquerque,person,wide_interconnection_columns,imported,
LC-0441,Alto da Sé,LC-0453,Casa dos Bonecos Gigantes do Alto da Sé,local,wide_interconnection_columns,imported,
LC-0441,Alto da Sé,LC-0174,Igreja de São Pedro dos Clérigos,local,wide_interconnection_columns,imported,
LC-0441,Alto da Sé,LC-0609,Igreja da Sé,local,wide_interconnection_columns,imported,
LC-0441,Alto da Sé,LC-0465,Travessa Tuyuty,local,wide_interconnection_columns,imported,
LC-0441,Alto da Sé,LC-0442,O Homem da Meia-Noite,local,wide_interconnection_columns,imported,
LC-0021,Arquivo Público,LC-0318,Rua do Imperador,local,wide_interconnection_columns,imported,
LC-0021,Arquivo Público,LC-0302,Restaurante Dom Pedro,local,wide_interconnection_columns,imported,
LC-0021,Arquivo Público,LC-0147,Gabinete Português de Leitura,local,wide_interconnection_columns,imported,
LC-0021,Arquivo Público,LC-0006,Academia Pernambucana de Letras,local,wide_interconnection_columns,imported,
LC-0021,Arquivo Público,LC-0054,Biblioteca Pública do Estado de Pernambuco,local,wide_interconnection_columns,imported,
LC-0021,Arquivo Público,LC-0205,Liceu de Artes e Ofícios,local,wide_interconnection_columns,imported,
LC-0021,Arquivo Público,LC-0033,Avenida Guararapes,local,wide_interconnection_columns,imported,
LC-0021,Arquivo Público,LC-0068,Capela Dourada,local,wide_interconnection_columns,imported,
LC-0021,Arquivo Público,LC-0098,Convento de Santo Antônio,local,wide_interconnection_columns,imported,
LC-0021,Arquivo Público,LC-0107,Diário de Pernambuco,local,wide_interconnection_columns,imported,
LC-0021,Arquivo Público,LC-0114,Edifício dos Correios,local,wide_interconnection_columns,imported,
LC-0021,Arquivo Público,LC-0284,Praça da República,local,wide_interconnection_columns,imported,
LC-0021,Arquivo Público,LC-0253,Palácio do Campo das Princesas,local,wide_interconnection_columns,imported,
LC-0021,Arquivo Público,LC-0465,Travessa Tuyuty,local,wide_interconnection_columns,imported,
LC-0021,Arquivo Público,LC-0339,Teatro Santa Isabel,local,wide_interconnection_columns,imported,
LC-0022,Arsenal da Marinha,LC-0282,Porto do Recife,local,wide_interconnection_columns,imported,
LC-0022,Arsenal da Marinha,LC-0289,Praça do Arsenal,local,wide_interconnection_columns,imported,
LC-0022,Arsenal da Marinha,LC-0317,Rua do Bom Jesus,local,wide_interconnection_columns,imported,
LC-0022,Arsenal da Marinha,PE-AUS-0029,Barreto de Menezes,person,wide_interconnection_columns,imported,
LC-0022,Arsenal da Marinha,PE-AUS-0084,Frei Caneca,person,wide_interconnection_columns,imported,
LC-0022,Arsenal da Marinha,LC-0002,1 Jardim de Boa Viagem,local,wide_interconnection_columns,imported,
LC-0022,Arsenal da Marinha,LC-0003,2 Jardim de Boa Viagem,local,wide_interconnection_columns,imported,
LC-0022,Arsenal da Marinha,LC-0004,3 Jardim de Boa Viagem,local,wide_interconnection_columns,imported,
LC-0022,Arsenal da Marinha,LC-0204,Largo da Paz,local,wide_interconnection_columns,imported,
LC-0022,Arsenal da Marinha,LC-0215,Marco Zero,local,wide_interconnection_columns,imported,
LC-0022,Arsenal da Marinha,LC-0255,Parque da Jaqueira,local,wide_interconnection_columns,imported,
LC-0022,Arsenal da Marinha,LC-0257,Jardim do Baobá,local,wide_interconnection_columns,imported,
LC-0022,Arsenal da Marinha,LC-0258,Pátio de São Pedro,local,wide_interconnection_columns,imported,
LC-0022,Arsenal da Marinha,LC-0028,Avenida Barbosa Lima,local,wide_interconnection_columns,imported,
LC-0022,Arsenal da Marinha,LC-0036,Avenida Marquês de Olinda,local,wide_interconnection_columns,imported,
LC-0464,Associação dos Ex-Combatentes do Brasil Seção de Pernambuco,LC-0610,Boa Vista,local,wide_interconnection_columns,imported,
LC-0464,Associação dos Ex-Combatentes do Brasil Seção de Pernambuco,LC-0026,Avenida Agamenon Magalhães,local,wide_interconnection_columns,imported,
LC-0464,Associação dos Ex-Combatentes do Brasil Seção de Pernambuco,LC-0035,Avenida Mário Melo,local,wide_interconnection_columns,imported,
