id,name,lat,lon
LC-0003,2 Jardim de Boa Viagem,-8.105,-34.88698
LC-0006,Academia Pernambucana de Letras,-8.03943,-34.9039
LC-0009,Aeroclube de Pernambuco,-8.05669,-34.89155
LC-0010,Aeroporto Internacional do Recife,-8.12593,-34.92401
LC-0441,Alto da Sé,-8.013978,-34.849701
LC-0021,Arquivo Público,-8.063722,-34.876751
LC-0022,Praça do Arsenal da Marinha,-8.061046,-34.871204
LC-0025,Avenida 17 de Agosto,-8.036,-34.91335
LC-0378,Avenida Abdias de Carvalho,-8.061234,-34.922321
LC-0026,Avenida Agamenon Magalhães,-8.04076,-34.88062
LC-0313,Avenida Alfredo Lisboa,-8.061389,-34.870596
LC-0027,Avenida Barão de Souza Leão,-8.13238,-34.90831
LC-0028,Avenida Barbosa Lima,-8.062326,-34.872151
LC-0029,Avenida Boa Viagem,-8.12473,-34.89696
LC-0030,Avenida Caxangá,-8.04366,-34.93351
LC-0383,Avenida Conde da Boa Vista,-8.058687,-34.88786
LC-0031,Avenida Dantas Barreto,-8.06798,-34.88063
LC-0032,Avenida Domingos Ferreira,-8.11981,-34.89792
LC-0033,Avenida Guararapes,-8.063128,-34.880048
LC-0408,Avenida Herculano Bandeira,-8.088207,-34.885766
LC-0392,Avenida Manoel Borba,-8.059527,-34.890263
LC-0034,Avenida Marechal Mascarenhas de Morais,-8.102953,-34.909847
LC-0035,Avenida Mário Melo,-8.05548,-34.87907
LC-0036,Avenida Marquês de Olinda,-8.06349,-34.873
LC-0397,Avenida Norte Miguel Arraes de Alencar,-8.027374,-34.903683
LC-0377,Avenida Nossa Senhora do Carmo,-8.06613,-34.877836
LC-0037,Avenida Rio Branco,-8.06175,-34.87607
LC-0386,Avenida Rosa e Silva,-8.041741,-34.898015
LC-0038,Avenida Rui Barbosa,-8.0524,-34.89578
LC-0039,Avenida Visconde de Suassuna,-8.050926,-34.888699
LC-0043,Banco do Nordeste,-8.054167,-34.933431
LC-0042,Banhistas do Pina,-8.089534,-34.888143
LC-0425,Basílica de Nossa Senhora do Carmo (Basílica do Carmo),-8.06619,-34.879941
LC-0050,Batutas de São José,-8.076162,-34.910995
LC-0058,Cabanga Iate Clube,-8.079253,-34.891669
LC-0060,Cais da Alfândega,-8.065202,-34.874194
LC-0061,Cais da Lingueta,-8.051784,-34.869318
LC-0370,Cais de Santa Rita,-8.070026,-34.877025
LC-0062,Cais do Apolo,-8.057664,-34.872393
LC-0063,Cais José Estelita,-8.075232,-34.88703
LC-0064,Cais Martins de Barros,-8.065101,-34.876253
LC-0066,Camelódromo,-8.071371,-34.883151
LC-0068,Capela Dourada,-8.06252,-34.877397
LC-0075,Casa da Cultura,-8.06617,-34.88366
LC-0076,Casa de Banhos,-8.069881,-34.871838
