id,legacy_id,name,type,sub_type,neighborhood,city,state,country,lat,lon,image,description,source,curation_status,notes
LC-0002,CH-0002,1 Jardim de Boa Viagem,Local,Praça,Boa Viagem,Recife,Pernambuco,Brasil,,,https://www.dropbox.com/s/l091x475afxxnqr/1%20Jardim%20de%20Boa%20Viagem.jpg,"No primeiro jardim, uma rua nos leva ao Aeroclube de Pernambuco, fundado em 15 de março de 1940 no Encanta Moça",https://antonioaurel.github.io/data/data-visualization/recife-history-connections/pages/sources.html,validated,Consolidado com conexões originais da Base Ajustada e similares da pesquisa IA para Pernambuco; limitado às 15 primeiras conexões únicas por compatibilidade com a base funcional.
LC-0003,CH-0003,2 Jardim de Boa Viagem,Local,Praça,Boa Viagem,Recife,Pernambuco,Brasil,,,https://poraqui.news/boa-viagem/wp-content/uploads/sites/4/2017/05/original_5a1a5111a5fffc685872bddb3e751b10.jpeg,"No segundo jardim, na altura do do número 1450, olhando para o mar, encontra-se o busto do pintor Teles Junior (1851-1914); no número 3500 (Edifício Portugal) uma réplica em tamanho pequeno do Monumento dos Descobrimentos existente em Belém (Lisboa)",https://antonioaurel.github.io/data/data-visualization/recife-history-connections/pages/sources.html,validated,Consolidado com conexões originais da Base Ajustada e similares da pesquisa IA para Pernambuco; limitado às 15 primeiras conexões únicas por compatibilidade com a base funcional.
LC-0004,CH-0004,3 Jardim de Boa Viagem,Local,Praça,Boa Viagem,Recife,Pernambuco,Brasil,,,https://igx.4sqi.net/img/general/width960/32097860_5aCa9NrEzCvf8KgKS-SJOG884vI7mLGnGpZWBZqmaSA.jpg,No Terceiro Jardim são encontradas peças de arquitetura de Ricardo Brenan.,https://antonioaurel.github.io/data/data-visualization/recife-history-connections/pages/sources.html,validated,Consolidado com conexões originais da Base Ajustada e similares da pesquisa IA para Pernambuco; limitado às 15 primeiras conexões únicas por compatibilidade com a base funcional.
LC-0006,CH-0006,Academia Pernambucana de Letras,Local,Biblioteca,Graças,Recife,Pernambuco,Brasil,,,http://jconlineimagem.ne10.uol.com.br/imagem/galeria/2015/04/10/4352_avulsa/normal/5da9cf9625826af0d8fd2452c33ad396.jpg,"A Academia Pernambucana de Letras foi fundada em 26 de janeiro de 1901, no Recife, por Carneiro Vilela e outros escritores pernambucanos da época, com um total de 20 cadeiras. Foi uma das primeiras academias de letras do Brasil, sendo precedida apenas pela Academia Cearense de Letras, pela Academia Brasileira de Letras e pela Academia Paraense de Letras.",https://antonioaurel.github.io/data/data-visualization/recife-history-connections/pages/sources.html,validated,Consolidado com conexões originais da Base Ajustada e similares da pesquisa IA para Pernambuco; limitado às 15 primeiras conexões únicas por compatibilidade com a base funcional.
LC-0009,CH-0009,Aeroclube de Pernambuco,Local,Aeroporto,Boa Viagem,Recife,Pernambuco,Brasil,,,https://i.ytimg.com/vi/jT2vhMr2Hik/maxresdefault.jpg,"O Aeroclube de Pernambuco foi fundado em 1940, no bairro do Pina, quando o país necessitava de um local específico que formasse pilotos habilitados a comandar aviões de guerra. Além de pista de pouso e decolagem de aviões de pequeno porte, o Aeroclube era um local onde realizam eventos festivos e competitivos. Hoje, contudo, encontra-se desativado.",https://antonioaurel.github.io/data/data-visualization/recife-history-connections/pages/sources.html,validated,Consolidado com conexões originais da Base Ajustada e similares da pesquisa IA para Pernambuco; limitado às 15 primeiras conexões únicas por compatibilidade com a base funcional.
LC-0010,CH-0010,Aeroporto Internacional do Recife,Local,Aeroporto,Boa Viagem,Recife,Pernambuco,Brasil,,,https://upload.wikimedia.org/wikipedia/commons/5/55/Aeroporto_Internacional_de_Guararapes.jpg,"Sua construção antecede a II Guerra Mundial, sendo que o conflito serviu para melhorar a estrutura da Base Aérea do Recife e, consequentemente, do próprio aeroporto. No final da década de 1940, o Recife passou a ter grande importância no tráfego aéreo, em meio as aerovias do Atlântico Sul - Europa, pela sua posição geográfica estratégica. Seu nome oficial foi dado em 2 de julho de 1948, quando o então presidente Eurico Gaspar Dutra assinou o decreto 25.170-A, transformando o Aeroporto do Recife, localizado no Campo do Ibura, em Aeroporto Guararapes",https://antonioaurel.github.io/data/data-visualization/recife-history-connections/pages/sources.html,validated,Consolidado com conexões originais da Base Ajustada e similares da pesquisa IA para Pernambuco; limitado às 15 primeiras conexões únicas por compatibilidade com a base funcional.
LC-0441,CH-0441,Alto da Sé,Local,Sítio Histórico,,Olinda,Pernambuco,Brasil,,,https://mymaps.usercontent.google.com/hostedimage/m/*/3AE5a_GynfOfw-WGe11WgREYRabYylWwkQeX5aN4xI15sbUvoN4CJKpGKEzrS6jcpCD45PhYrUquK_2huG9chmXdIBcC3hvGoTdROkAo3RfkvwpD8L2cioP3uhJjPg18Kai_sT74HVCaOLydXZYZgteEjzu4Jc-rn5d9GNMVKQTMBTRVVGWX--PYi_xbXSfOWIsaaGGd8uisesOcNtA?fife=s16383,"A Praça da Sé, em Olinda, cidade Patrimônio Cultural da Humanidade pela UNESCO desde 1982, é o coração de um sítio histórico composto por mais de duas dezenas de igrejas e doze capelas, casario, farol, campanários, marcos de pedra calcária, obras de arte barrocas e contemporâneas, entre outros. Na Sé, ponto de convergência sociocultural, de expressões artísticas tão espontâneas quanto fartas, o ambiente entremeado de natureza viva, mostra-se diferente a cada luz do dia ou da noite, a cada tempo diferente do ano. Nela, quatro monumentos foram erguidos e construíram um rico diálogo espacial, criando um ambiente peculiar que chama à contemplação. Numa perspectiva aérea, poder-se-ia ver o traçado de um “trapézio arquitetônico” imaginário formado pela Igreja da Sé, pelo Museu de Arte Sacra de Pernambuco, pelo Observatório Astronômico e pela Caixa D'Água de Olinda...",https://antonioaurel.github.io/data/data-visualization/recife-history-connections/pages/sources.html,validated,Consolidado com conexões originais da Base Ajustada e similares da pesquisa IA para Pernambuco; limitado às 15 primeiras conexões únicas por compatibilidade com a base funcional.
FH-0495,CH-0495,Anos de Chumbo,Fato Histórico,Evento,,Pernambuco,Pernambuco,Brasil,,,,,https://antonioaurel.github.io/data/data-visualization/recife-history-connections/pages/sources.html,missing_description,Consolidado com conexões originais da Base Ajustada e similares da pesquisa IA para Pernambuco; limitado às 15 primeiras conexões únicas por compatibilidade com a base funcional.
LC-0021,CH-0021,Arquivo Público,Local,Biblioteca,Santo Antônio,Recife,Pernambuco,Brasil,,,http://especiais.jconline.ne10.uol.com.br/revolucao-1817/assets/images/04-arquivo-publico-do-estado2-2000x1333-800x533.jpg,"O Arquivo Público guarda parte importante da história de Pernambuco em documentos, mapas, leis, jornais, livros e manuscritos preservados para garantir um futuro ao nosso passado. O acervo do Arquivo Público Estadual está em contínua expansão. E, para tornar o seu valioso conteúdo cada vez mais acessível, é preciso se manter em constante modernização.",https://antonioaurel.github.io/data/data-visualization/recife-history-connections/pages/sources.html,validated,Consolidado com conexões originais da Base Ajustada e similares da pesquisa IA para Pernambuco; limitado às 15 primeiras conexões únicas por compatibilidade com a base funcional.
LC-0022,CH-0022,Praça do Arsenal da Marinha,Local,Praça,Recife Antigo,Recife,Pernambuco,Brasil,,,http://domingosluna.com.br/wp-content/uploads/2010/06/080720_parsenal_pano.jpg,"O Arsenal da Marinha de Pernambuco foi um edifício sede da Marinha do Brasil na cidade de Recife, capital do estado brasileiro de Pernambuco.",https://antonioaurel.github.io/data/data-visualization/recife-history-connections/pages/sources.html,validated,Consolidado com conexões originais da Base Ajustada e similares da pesquisa IA para Pernambuco; limitado às 15 primeiras conexões únicas por compatibilidade com a base funcional.
LC-0464,CH-0464,Associação dos Ex-Combatentes do Brasil Seção de Pernambuco,Local,Sítio Histórico,Boa Vista,Recife,Pernambuco,Brasil,,,,"A Associação dos Ex-Combatentes do Brasil é uma entidade civil surgida em 1945, logo após o retorno das tropas brasileiras da Segunda Guerra Mundial, com primeira seção fundada no Rio de Janeiro em 1º de outubro daquele ano. Reúne militares do Exército, da Marinha e da Aeronáutica que combateram no conflito, sobretudo integrantes da Força Expedicionária Brasileira (FEB) na Campanha da Itália, e dedica-se à assistência aos veteranos e à preservação de sua memória. A Seção de Pernambuco mantém atividade em Recife, dando continuidade ao apoio aos antigos pracinhas.",https://antonioaurel.github.io/data/data-visualization/recife-history-connections/pages/sources.html,validated,Consolidado com conexões originais da Base Ajustada e similares da pesquisa IA para Pernambuco; limitado às 15 primeiras conexões únicas por compatibilidade com a base funcional.
LC-0500,CH-0500,Astro e Ritz,Local,Cinema,,Pernambuco,Pernambuco,Brasil,,,,,https://antonioaurel.github.io/data/data-visualization/recife-history-connections/pages/sources.html,missing_description,Consolidado com conexões originais da Base Ajustada e similares da pesquisa IA para Pernambuco; limitado às 15 primeiras conexões únicas por compatibilidade com a base funcional.
