id,name,year_start,year_end
LC-0003,2 Jardim de Boa Viagem,,
LC-0006,Academia Pernambucana de Letras,,
LC-0009,Aeroclube de Pernambuco,,
LC-0010,Aeroporto Internacional do Recife,,
LC-0441,Alto da Sé,,
LC-0021,Arquivo Público,,
LC-0022,Praça do Arsenal da Marinha,,
LC-0025,Avenida 17 de Agosto,,
LC-0378,Avenida Abdias de Carvalho,,
LC-0026,Avenida Agamenon Magalhães,,
LC-0313,Avenida Alfredo Lisboa,,
LC-0027,Avenida Barão de Souza Leão,,
LC-0028,Avenida Barbosa Lima,,
LC-0029,Avenida Boa Viagem,,
LC-0030,Avenida Caxangá,,
LC-0383,Avenida Conde da Boa Vista,,
LC-0031,Avenida Dantas Barreto,,
LC-0032,Avenida Domingos Ferreira,,
LC-0033,Avenida Guararapes,,
LC-0408,Avenida Herculano Bandeira,,
LC-0392,Avenida Manoel Borba,,
LC-0034,Avenida Marechal Mascarenhas de Morais,,
LC-0035,Avenida Mário Melo,,
LC-0036,Avenida Marquês de Olinda,,
LC-0397,Avenida Norte Miguel Arraes de Alencar,,
LC-0377,Avenida Nossa Senhora do Carmo,,
LC-0037,Avenida Rio Branco,,
LC-0386,Avenida Rosa e Silva,,
LC-0038,Avenida Rui Barbosa,,
LC-0039,Avenida Visconde de Suassuna,,
LC-0043,Banco do Nordeste,,
LC-0042,Banhistas do Pina,,
LC-0425,Basílica de Nossa Senhora do Carmo (Basílica do Carmo),,
LC-0050,Batutas de São José,,
LC-0058,Cabanga Iate Clube,,
LC-0060,Cais da Alfândega,,
LC-0061,Cais da Lingueta,,
LC-0370,Cais de Santa Rita,,
LC-0062,Cais do Apolo,,
LC-0063,Cais José Estelita,,
LC-0064,Cais Martins de Barros,,
LC-0066,Camelódromo,,
LC-0068,Capela Dourada,,
LC-0075,Casa da Cultura,,
LC-0076,Casa de Banhos,,
LC-0431,Casa de Clarice Lispector,,
LC-0437,Casa do Carnaval - Anexo,,
LC-0453,Casa dos Bonecos Gigantes do Alto da Sé,,
LC-0435,Casa-Museu Magdalena e Gilberto Freyre,,
LC-0077,Castelinho,,
LC-0079,Cemitério de Santo Amaro,,
